"exposure","exposed_30_males_lyl_estimate_with_ci","unexposed_30_males_lyl_estimate_with_ci","exposed_45_males_lyl_estimate_with_ci","unexposed_45_males_lyl_estimate_with_ci","exposed_60_males_lyl_estimate_with_ci","unexposed_60_males_lyl_estimate_with_ci","exposed_30_females_lyl_estimate_with_ci","unexposed_30_females_lyl_estimate_with_ci","exposed_45_females_lyl_estimate_with_ci","unexposed_45_females_lyl_estimate_with_ci","exposed_60_females_lyl_estimate_with_ci","unexposed_60_females_lyl_estimate_with_ci"
"Chronic liver disease","27.85 (27.21; 28.49)","24.90 (24.49; 25.33)","21.07 (20.65; 21.49)","19.96 (19.70; 20.24)","10.58 (10.10; 11.01)","9.94 (9.69; 10.20)","30.09 (29.08; 31.22)","25.36 (24.66; 26.06)","23.75 (22.93; 24.50)","20.31 (19.71; 20.92)","11.15 (10.21; 12.02)","9.29 (8.73; 9.78)"
"Chronic pulmonary diseases","22.98 (21.31; 24.74)","16.01 (14.80; 17.09)","18.58 (17.52; 19.64)","13.61 (12.94; 14.26)","9.93 (9.42; 10.45)","8.02 (7.67; 8.38)","19.17 (16.33; 21.77)","12.66 (10.74; 14.65)","16.90 (14.90; 18.91)","10.35 (9.21; 11.49)","10.84 (9.69; 11.95)","6.74 (5.97; 7.48)"
"Chronic viral hepatitis","16.90 (12.65; 18.73)","9.58 (5.70; 13.12)","14.56 (10.04; 16.55)","7.57 (3.14; 11.09)",NA,NA,"3.26 (-2.92; 10.94)","-2.53 (-4.03; -0.56)",NA,"-3.52 (-4.23; -1.80)",NA,NA
"Infectious diseases","19.07 (17.69; 20.35)","14.19 (13.23; 15.13)","15.96 (14.63; 17.13)","11.60 (10.65; 12.51)","9.34 (7.67; 10.80)","6.42 (5.20; 7.55)","18.20 (14.41; 21.71)","11.40 (8.65; 14.10)","16.24 (11.67; 19.93)","9.95 (7.22; 12.53)","8.56 (3.32; 12.90)","4.84 (2.20; 7.45)"
"Inflammatory bowel disease","19.00 (13.27; 24.85)","9.82 (6.07; 13.47)","13.33 (9.47; 17.22)","6.43 (3.76; 8.86)","8.47 (4.94; 11.17)","3.58 (1.34; 5.68)","3.30 (-2.82; 8.99)","9.55 (4.05; 16.18)","3.73 (-2.20; 9.21)","9.99 (4.23; 16.31)","2.59 (-2.99; 7.66)","3.57 (0.87; 6.50)"
"Ischemic heart disease","21.24 (18.75; 24.33)","10.44 (8.99; 12.19)","14.70 (13.79; 15.62)","6.69 (6.00; 7.33)","7.47 (6.95; 7.94)","2.91 (2.58; 3.23)","26.05 (18.74; 34.57)","9.35 (7.05; 11.72)","15.79 (13.10; 18.69)","8.41 (6.51; 10.62)","7.22 (6.12; 8.43)","3.43 (2.79; 4.06)"
"Multiple sclerosis","14.12 (2.33; 24.54)","3.74 (-2.92; 8.69)","2.56 (-7.85; 7.80)","3.01 (-3.66; 8.03)",NA,"2.52 (-3.82; 7.18)","9.79 (1.50; 17.89)","-1.57 (-4.06; 1.74)","8.87 (-0.42; 17.33)","-2.14 (-4.23; 0.28)",NA,NA
"Neurological system","24.47 (23.74; 25.27)","17.38 (16.85; 17.86)","17.24 (16.77; 17.72)","12.83 (12.46; 13.19)","8.67 (8.14; 9.21)","6.88 (6.54; 7.22)","25.01 (23.24; 26.73)","14.24 (13.38; 15.24)","16.38 (15.18; 17.56)","11.56 (10.83; 12.27)","8.08 (7.00; 9.12)","7.14 (6.53; 7.74)"
"Parkinson's disease","24.11 (11.04; 35.81)","7.46 (4.90; 10.85)","14.21 (9.32; 21.06)","8.30 (5.67; 11.81)","8.66 (6.16; 11.14)","7.35 (6.03; 8.74)","22.55 (6.72; 43.83)","13.25 (8.48; 19.07)","12.35 (5.35; 19.17)","13.68 (8.71; 19.42)","9.13 (2.73; 14.68)","10.15 (7.78; 12.35)"
"Peripheral artery occlusive disease","23.93 (20.89; 27.32)","16.51 (14.48; 18.89)","17.74 (16.61; 18.90)","11.92 (11.10; 12.83)","8.91 (8.40; 9.38)","5.99 (5.64; 6.32)","26.94 (19.37; 34.20)","17.02 (13.28; 20.94)","19.24 (14.90; 23.33)","13.28 (11.34; 15.36)","9.43 (8.25; 10.65)","7.92 (7.18; 8.68)"
"Prostate disorders","10.05 (6.25; 14.38)","-0.03 (-2.04; 2.49)","10.84 (7.09; 15.19)","0.81 (-1.20; 3.38)","4.40 (3.34; 5.44)","-0.39 (-0.91; 0.15)",NA,NA,NA,NA,NA,NA
"Stroke","29.96 (27.47; 32.90)","19.89 (18.15; 21.73)","19.86 (18.93; 20.80)","13.40 (12.75; 14.04)","9.77 (9.32; 10.21)","6.26 (5.93; 6.55)","32.43 (27.29; 37.98)","20.85 (18.13; 23.99)","22.06 (20.10; 24.13)","15.58 (14.26; 16.92)","10.29 (9.38; 11.19)","7.37 (6.78; 7.98)"
"Thyroid disorder","11.64 (5.37; 17.73)","-1.26 (-3.85; 1.64)","8.03 (2.95; 12.41)","-2.02 (-3.96; -0.06)","2.99 (-0.34; 6.01)","-0.96 (-2.46; 0.78)","9.90 (5.76; 14.47)","-1.22 (-2.41; -0.02)","8.28 (4.66; 11.42)","-0.79 (-1.88; 0.45)","3.51 (0.96; 6.02)","-0.37 (-1.38; 0.81)"
"Tuberculosis","25.22 (21.91; 28.66)","16.64 (14.89; 18.80)","17.40 (15.75; 19.00)","14.21 (13.17; 15.23)","9.32 (7.48; 10.91)","7.39 (6.32; 8.34)","23.74 (17.97; 29.39)","9.65 (6.34; 13.30)","20.21 (15.37; 24.90)","8.47 (5.54; 11.23)","9.33 (4.35; 14.00)","5.73 (3.33; 8.12)"
"Ulcer or chronic gastritis","23.89 (22.49; 25.45)","15.59 (14.64; 16.61)","17.84 (16.99; 18.72)","11.87 (11.28; 12.52)","8.54 (7.74; 9.34)","5.54 (5.06; 6.02)","28.12 (24.59; 32.20)","13.54 (11.97; 15.34)","20.69 (18.51; 22.73)","11.68 (10.42; 12.98)","8.39 (7.03; 9.73)","5.84 (4.98; 6.69)"
"Urogenital system","26.03 (22.75; 29.82)","13.79 (11.03; 16.68)","18.30 (16.41; 20.08)","8.89 (7.49; 10.22)","6.35 (5.50; 7.26)","1.50 (0.99; 1.99)","28.94 (23.24; 33.31)","24.26 (20.31; 28.16)","24.56 (18.09; 31.71)","20.55 (17.62; 23.48)","12.67 (11.01; 14.27)","10.50 (9.29; 11.58)"
